City,Temperature (°C)
United Kingdom,18
Paris,28
Amsterdam,22
Rome,35
Madrid,38
Lisbon,30
Athens,37
Barcelona,34
Berlin,26
Milan,34
Vienna,33
Brussels,25
Prague,28
Budapest,36
Zurich,34
Cairo,40
Casablanca,28
Marrakech,37
Tunis,42
Algiers,34
Tripoli,34
Tangier,29
Beirut,34
Amman,38
Istanbul,33
Doha,43
Manama,43
Nice,24
Santorini,26
Albufeira,28
Catania,36
Malaga,37
Dubrovnik,31
Naples,34
Toulon,32
Sharm El Sheikh,35
Hurghada,36
Djerba,34
Essaouira,24
Agadir,28
