City,Temperature (°C)
United Kingdom,21
Paris,37
Amsterdam,34
Rome,34
Madrid,38
Lisbon,29
Athens,37
Barcelona,33
Berlin,36
Milan,41
Vienna,40
Brussels,38
Prague,37
Budapest,42
Zurich,37
Cairo,41
Casablanca,31
Marrakech,45
Tunis,45
Algiers,33
Tripoli,36
Tangier,34
Beirut,38
Amman,37
Istanbul,33
Doha,44
Manama,37
Nice,26
Santorini,26
Albufeira,31
Catania,35
Malaga,38
Dubrovnik,29
Naples,31
Toulon,32
Sharm El Sheikh,36
Hurghada,38
Djerba,36
Essaouira,30
Agadir,33
