City,Temperature (°C)
United Kingdom,21
Paris,34
Amsterdam,26
Rome,31
Madrid,35
Lisbon,30
Athens,28
Barcelona,28
Berlin,27
Milan,32
Vienna,31
Brussels,30
Prague,27
Budapest,30
Zurich,30
Cairo,36
Casablanca,29
Marrakech,38
Tunis,34
Algiers,26
Tripoli,26
Tangier,30
Beirut,26
Amman,28
Istanbul,27
Doha,43
Manama,37
Nice,23
Santorini,22
Albufeira,28
Catania,30
Malaga,30
Dubrovnik,24
Naples,25
Toulon,26
Sharm El Sheikh,32
Hurghada,34
Djerba,27
Essaouira,22
Agadir,27
