City,Temperature (°C)
United Kingdom,15
Paris,20
Amsterdam,19
Rome,31
Madrid,32
Lisbon,25
Athens,30
Barcelona,25
Berlin,25
Milan,26
Vienna,27
Brussels,19
Prague,25
Budapest,28
Zurich,26
Cairo,39
Casablanca,25
Marrakech,37
Tunis,43
Algiers,29
Tripoli,36
Tangier,26
Beirut,24
Amman,30
Istanbul,28
Doha,44
Manama,34
Nice,17
Santorini,24
Albufeira,30
Catania,33
Malaga,34
Dubrovnik,23
Naples,26
Toulon,25
Sharm El Sheikh,34
Hurghada,35
Djerba,32
Essaouira,23
Agadir,25
