City,Temperature (°C)
United Kingdom,15
Paris,24
Amsterdam,23
Rome,32
Madrid,34
Lisbon,27
Athens,33
Barcelona,28
Berlin,26
Milan,29
Vienna,31
Brussels,24
Prague,25
Budapest,31
Zurich,27
Cairo,37
Casablanca,25
Marrakech,37
Tunis,37
Algiers,33
Tripoli,32
Tangier,29
Beirut,28
Amman,31
Istanbul,28
Doha,42
Manama,35
Nice,19
Santorini,23
Albufeira,27
Catania,28
Malaga,30
Dubrovnik,24
Naples,25
Toulon,25
Sharm El Sheikh,32
Hurghada,32
Djerba,33
Essaouira,22
Agadir,27
