City,Temperature (°C)
United Kingdom,15
Paris,23
Amsterdam,18
Rome,32
Madrid,35
Lisbon,32
Athens,33
Barcelona,26
Berlin,24
Milan,27
Vienna,28
Brussels,20
Prague,23
Budapest,32
Zurich,27
Cairo,39
Casablanca,27
Marrakech,41
Tunis,41
Algiers,28
Tripoli,33
Tangier,32
Beirut,31
Amman,32
Istanbul,28
Doha,39
Manama,34
Nice,21
Santorini,25
Albufeira,30
Catania,33
Malaga,30
Dubrovnik,27
Naples,27
Toulon,28
Sharm El Sheikh,34
Hurghada,34
Djerba,30
Essaouira,23
Agadir,25
