City,Temperature (°C)
United Kingdom,18
Paris,30
Amsterdam,23
Rome,36
Madrid,38
Lisbon,31
Athens,37
Barcelona,32
Berlin,29
Milan,35
Vienna,34
Brussels,26
Prague,30
Budapest,39
Zurich,30
Cairo,42
Casablanca,28
Marrakech,43
Tunis,42
Algiers,29
Tripoli,34
Tangier,31
Beirut,30
Amman,33
Istanbul,31
Doha,42
Manama,38
Nice,24
Santorini,26
Albufeira,29
Catania,34
Malaga,32
Dubrovnik,28
Naples,30
Toulon,31
Sharm El Sheikh,35
Hurghada,36
Djerba,32
Essaouira,23
Agadir,33
