City,Temperature (°C)
United Kingdom,16
Paris,28
Amsterdam,21
Rome,29
Madrid,34
Lisbon,31
Athens,23
Barcelona,31
Berlin,24
Milan,26
Vienna,23
Brussels,25
Prague,23
Budapest,23
Zurich,29
Cairo,36
Casablanca,28
Marrakech,38
Tunis,30
Algiers,27
Tripoli,30
Tangier,25
Beirut,32
Amman,29
Istanbul,23
Doha,43
Manama,36
Nice,19
Santorini,23
Albufeira,36
Catania,28
Malaga,32
Dubrovnik,23
Naples,26
Toulon,28
Sharm El Sheikh,36
Hurghada,36
Djerba,28
Essaouira,21
Agadir,34
