City,Temperature (°C)
United Kingdom,25
Paris,37
Amsterdam,29
Rome,32
Madrid,40
Lisbon,34
Athens,36
Barcelona,31
Berlin,30
Milan,38
Vienna,35
Brussels,33
Prague,32
Budapest,38
Zurich,34
Cairo,43
Casablanca,34
Marrakech,45
Tunis,38
Algiers,29
Tripoli,31
Tangier,33
Beirut,31
Amman,41
Istanbul,34
Doha,42
Manama,38
Nice,27
Santorini,28
Albufeira,30
Catania,34
Malaga,32
Dubrovnik,31
Naples,30
Toulon,30
Sharm El Sheikh,40
Hurghada,41
Djerba,30
Essaouira,33
Agadir,37
