City,Temperature (°C)
United Kingdom,18
Paris,33
Amsterdam,31
Rome,35
Madrid,38
Lisbon,30
Athens,36
Barcelona,33
Berlin,36
Milan,35
Vienna,36
Brussels,33
Prague,34
Budapest,38
Zurich,32
Cairo,41
Casablanca,29
Marrakech,43
Tunis,40
Algiers,30
Tripoli,33
Tangier,32
Beirut,30
Amman,34
Istanbul,30
Doha,42
Manama,38
Nice,24
Santorini,27
Albufeira,28
Catania,34
Malaga,33
Dubrovnik,29
Naples,30
Toulon,31
Sharm El Sheikh,36
Hurghada,36
Djerba,33
Essaouira,23
Agadir,31
