City,Temperature (°C)
United Kingdom,19
Paris,36
Amsterdam,23
Rome,33
Madrid,36
Lisbon,30
Athens,33
Barcelona,32
Berlin,27
Milan,32
Vienna,32
Brussels,28
Prague,31
Budapest,32
Zurich,33
Cairo,38
Casablanca,25
Marrakech,34
Tunis,39
Algiers,28
Tripoli,32
Tangier,30
Beirut,27
Amman,35
Istanbul,33
Doha,42
Manama,35
Nice,21
Santorini,25
Albufeira,28
Catania,33
Malaga,36
Dubrovnik,27
Naples,28
Toulon,26
Sharm El Sheikh,35
Hurghada,34
Djerba,30
Essaouira,21
Agadir,26
