City,Temperature (°C)
United Kingdom,23
Paris,35
Amsterdam,35
Rome,34
Madrid,36
Lisbon,28
Athens,36
Barcelona,32
Berlin,35
Milan,41
Vienna,41
Brussels,37
Prague,38
Budapest,42
Zurich,39
Cairo,40
Casablanca,28
Marrakech,44
Tunis,45
Algiers,34
Tripoli,36
Tangier,29
Beirut,35
Amman,37
Istanbul,34
Doha,44
Manama,38
Nice,26
Santorini,26
Albufeira,31
Catania,35
Malaga,37
Dubrovnik,30
Naples,31
Toulon,31
Sharm El Sheikh,36
Hurghada,37
Djerba,36
Essaouira,28
Agadir,34
