City,Temperature (°C)
United Kingdom,16
Paris,24
Amsterdam,20
Rome,32
Madrid,34
Lisbon,25
Athens,32
Barcelona,27
Berlin,25
Milan,29
Vienna,29
Brussels,22
Prague,24
Budapest,29
Zurich,29
Cairo,39
Casablanca,24
Marrakech,38
Tunis,39
Algiers,26
Tripoli,34
Tangier,29
Beirut,26
Amman,30
Istanbul,30
Doha,43
Manama,37
Nice,20
Santorini,24
Albufeira,30
Catania,30
Malaga,32
Dubrovnik,24
Naples,25
Toulon,25
Sharm El Sheikh,35
Hurghada,35
Djerba,29
Essaouira,23
Agadir,25
