City,Temperature (°C)
United Kingdom,21
Paris,32
Amsterdam,28
Rome,31
Madrid,36
Lisbon,32
Athens,32
Barcelona,29
Berlin,30
Milan,33
Vienna,30
Brussels,32
Prague,29
Budapest,30
Zurich,32
Cairo,39
Casablanca,30
Marrakech,44
Tunis,41
Algiers,30
Tripoli,32
Tangier,31
Beirut,32
Amman,34
Istanbul,28
Doha,45
Manama,43
Nice,25
Santorini,24
Albufeira,28
Catania,31
Malaga,30
Dubrovnik,30
Naples,29
Toulon,29
Sharm El Sheikh,35
Hurghada,37
Djerba,33
Essaouira,27
Agadir,29
