City,Temperature (°C)
United Kingdom,17
Paris,32
Amsterdam,27
Rome,34
Madrid,35
Lisbon,30
Athens,30
Barcelona,28
Berlin,30
Milan,29
Vienna,29
Brussels,30
Prague,29
Budapest,32
Zurich,28
Cairo,37
Casablanca,31
Marrakech,38
Tunis,35
Algiers,28
Tripoli,30
Tangier,30
Beirut,29
Amman,33
Istanbul,27
Doha,43
Manama,41
Nice,21
Santorini,24
Albufeira,25
Catania,29
Malaga,29
Dubrovnik,27
Naples,30
Toulon,26
Sharm El Sheikh,32
Hurghada,35
Djerba,32
Essaouira,30
Agadir,32
