City,Temperature (°C)
United Kingdom,20
Paris,30
Amsterdam,25
Rome,38
Madrid,39
Lisbon,38
Athens,36
Barcelona,34
Berlin,26
Milan,34
Vienna,31
Brussels,27
Prague,27
Budapest,30
Zurich,31
Cairo,39
Casablanca,34
Marrakech,42
Tunis,40
Algiers,30
Tripoli,35
Tangier,32
Beirut,36
Amman,35
Istanbul,30
Doha,41
Manama,38
Nice,24
Santorini,28
Albufeira,32
Catania,33
Malaga,35
Dubrovnik,32
Naples,35
Toulon,29
Sharm El Sheikh,34
Hurghada,36
Djerba,32
Essaouira,29
Agadir,32
