City,Temperature (°C)
United Kingdom,20
Paris,33
Amsterdam,25
Rome,36
Madrid,39
Lisbon,39
Athens,34
Barcelona,32
Berlin,30
Milan,33
Vienna,37
Brussels,29
Prague,30
Budapest,31
Zurich,30
Cairo,39
Casablanca,36
Marrakech,45
Tunis,39
Algiers,28
Tripoli,30
Tangier,32
Beirut,27
Amman,32
Istanbul,31
Doha,43
Manama,37
Nice,23
Santorini,28
Albufeira,31
Catania,35
Malaga,32
Dubrovnik,30
Naples,32
Toulon,32
Sharm El Sheikh,35
Hurghada,35
Djerba,30
Essaouira,32
Agadir,32
