City,Temperature (°C)
United Kingdom,15
Paris,25
Amsterdam,20
Rome,36
Madrid,31
Lisbon,35
Athens,30
Barcelona,28
Berlin,21
Milan,26
Vienna,25
Brussels,22
Prague,24
Budapest,26
Zurich,25
Cairo,40
Casablanca,23
Marrakech,38
Tunis,34
Algiers,25
Tripoli,31
Tangier,23
Beirut,28
Amman,35
Istanbul,24
Doha,43
Manama,37
Nice,20
Santorini,25
Albufeira,31
Catania,28
Malaga,33
Dubrovnik,26
Naples,30
Toulon,30
Sharm El Sheikh,42
Hurghada,35
Djerba,25
Essaouira,25
Agadir,31
