City,Temperature (°C)
United Kingdom,21
Paris,39
Amsterdam,34
Rome,35
Madrid,40
Lisbon,37
Athens,39
Barcelona,31
Berlin,33
Milan,34
Vienna,36
Brussels,36
Prague,31
Budapest,37
Zurich,33
Cairo,40
Casablanca,36
Marrakech,46
Tunis,42
Algiers,28
Tripoli,31
Tangier,33
Beirut,30
Amman,36
Istanbul,35
Doha,45
Manama,39
Nice,25
Santorini,27
Albufeira,33
Catania,33
Malaga,32
Dubrovnik,30
Naples,34
Toulon,31
Sharm El Sheikh,34
Hurghada,34
Djerba,30
Essaouira,32
Agadir,35
