City,Temperature (°C)
United Kingdom,19
Paris,26
Amsterdam,20
Rome,31
Madrid,36
Lisbon,31
Athens,33
Barcelona,28
Berlin,24
Milan,30
Vienna,27
Brussels,23
Prague,22
Budapest,32
Zurich,25
Cairo,39
Casablanca,28
Marrakech,40
Tunis,40
Algiers,29
Tripoli,33
Tangier,33
Beirut,29
Amman,34
Istanbul,28
Doha,40
Manama,38
Nice,21
Santorini,26
Albufeira,30
Catania,34
Malaga,35
Dubrovnik,27
Naples,28
Toulon,26
Sharm El Sheikh,33
Hurghada,35
Djerba,30
Essaouira,22
Agadir,25
